UsdCreate,Define World,Add 10000 Refs to 10 File(s),Save 10 File
35120600,36394600,6258716500,6480834800
34618400,35858700,6377399500,6593201200
39882600,41227900,6781085200,7021003900
36548500,38014500,6346024000,6582971900
35975500,37421200,6305986600,6528012400
36788800,38163800,6478293100,6709980600
37910800,39220000,6715220300,6942474900
34926900,36270800,6161190600,6391256100
35862800,37139300,6129684600,6354262000
36438600,37738300,6352155100,6575593100
38620600,39924100,6405798300,6633172800
35485500,36822600,6151140200,6375445700
39357300,40669400,6442875300,6679435400
35793200,37022700,6319786500,6543369500
35889100,37187100,6068893700,6281903500
36366000,37651300,6557355600,6778119600
34915800,36218800,6197156400,6411138400
37493000,38812100,6324044400,6551537900
36594600,37914500,6602234000,6836389900
38707700,40074100,6561512100,6803022000
46354300,47714500,7322096300,7590200600
37067400,38422200,6956337700,7202396700
36683000,37986400,6602390500,6831901600
42769700,44185000,6225986700,6465698100
36380800,37695600,6201644400,6426073300
36640700,37925300,6157440600,6381773800
38466700,39801700,6393921200,6624273800
37701900,39079900,6366411900,6600238100
35629700,36939100,6288077000,6512843800
35763500,37026200,6247481800,6475421000
37470400,38764200,6131463100,6369840500
38177600,39552300,6084922300,6309607600
35509800,36852000,6041801900,6263801300
36832800,38273600,6372907000,6595433600
36277800,37705800,6563160600,6796318700
36919500,38323000,6274391700,6517162300
38504700,39931100,6295326800,6533862800
37014600,38425400,6128918800,6346050600
37652400,38938300,6343650900,6579648000
36093200,37407700,6117174800,6341854600
38928000,40419600,6128239900,6352586400
37448000,38810300,6132855400,6373457200
36096700,37446000,6222680000,6447668800
36106500,37430800,6178205300,6397702900
43912100,45395100,6404539600,6652036700
42498000,43953400,7231822500,7485143500
44213800,46078400,7864171000,8146427100
37413800,38860400,6779784900,7003510600
36360300,37712900,6173804400,6401138900
37683100,39057600,6391551500,6619377000
35496700,36782500,6131566200,6355780600
37506100,38834100,6116399200,6349977300
36047800,37392500,6152076000,6374379700
39085900,40623100,6758175600,7002501100
37259400,38592200,6413974100,6636051800
38824700,40301100,6202831800,6421256300
36655400,37956200,6131901200,6355344800
36288300,37710300,6057205400,6279937400
34876800,36202700,6266944100,6483851800
36884700,38173400,6052469400,6282731200
36442800,37745600,6290250200,6516852300
35265600,36545500,6160114100,6373337900
36964700,38362100,6151154700,6371251400
34455200,35844800,6303077600,6525512800
35512300,36790900,6337153900,6551922700
36901100,38214900,6249959500,6484031300
35731400,36987100,5987995900,6203259900
34452300,35736400,5924093900,6133877800
34948400,36166900,5935437200,6147362100
35930600,37242700,5989226200,6222243800
36332600,37641800,6176008000,6399923900
36158800,37566300,6154369600,6381954200
34998900,36317200,6034203600,6251090400
38478500,39721500,6110920700,6324375200
36679600,37999600,6117449400,6335951800
37670600,38942200,6213400100,6444214800
35997100,37329900,6055462600,6281962000
35680700,36949300,6071362100,6297187700
36286400,37586200,6107927200,6327172500
36257200,37587900,6055622300,6287338300
35200100,36420700,6172019400,6393926100
34920800,36371900,6165844900,6386346200
35665600,36930000,6088899400,6308400100
37006100,38278300,5965960100,6189741700
37364700,38617900,6166578300,6398907800
37031100,38328600,6020500700,6249256500
36871400,38110500,6129655900,6353168100
36140800,37430000,6091657400,6307106300
35395900,36663200,5924272600,6146811400
36931700,38318400,6200755000,6426249400
35482600,36746800,6091522000,6307936800
37079500,38349900,6148004600,6366232700
36706300,38065900,6123747400,6343742500
36212000,37471700,6440951600,6665001500
35286700,36559600,6016212100,6233914500
35586300,36987400,6064886500,6285922800
35770300,37015700,5881581200,6101239600
34658200,35867500,5944877200,6162541400
39336400,40722500,5908249500,6130897600
35718700,37016900,5898724300,6112945700
