UsdCreate,Define World,Add 1000 Refs to 2 File(s),Save 2 File
15791600,599400,1195078600,37326700
11512400,558400,1213596700,37540600
12859900,614500,1249231500,80851800
12509600,592900,1208424200,35467900
11595000,784300,1297431300,46028200
15424300,595400,1290517800,46048700
13979900,831000,1229746100,35003300
11291100,391800,1262121200,35327300
11355500,464100,1151295400,33946500
9010000,469300,1178264700,32849900
8876900,455500,1120427900,31030600
8241200,405900,1145139500,31101100
8467500,586000,1109952600,30094400
8604200,391200,1135069500,31633500
9436700,456800,1158913800,36388500
10907900,645300,1201175600,36252500
9187800,447000,1159506200,33092500
8436400,415900,1198263000,38528800
11460100,411000,1237639100,47774500
10671300,451900,1174656300,35405500
10474500,383600,1174569800,47782500
8061600,360700,1185764700,44136700
9187800,417800,1196289300,37527100
11232900,479600,1179755200,33748500
9677100,397700,1138965400,39329300
10344300,682300,1144057200,32324400
8430300,396400,1132944300,33548100
9990600,445900,1153900100,31057500
8882000,586900,1123390600,32507900
8571300,401400,1141158100,32821300
9421100,405400,1192940500,33747300
11016900,685900,1234443000,34253400
9618100,462500,1198351300,45966100
10030100,658800,1158102900,32759700
8509400,376000,1128928900,31820600
9351600,430500,1193059100,34562100
8836700,393400,1144435000,32777800
8490400,408200,1131043600,34147400
9451200,429000,1173575400,32966300
10742900,440400,1156167600,30705400
9349300,463300,1248803800,41317000
9978900,542300,1214650500,35507900
9263000,371100,1139964800,34616500
8423500,385900,1126074800,31177400
9355300,868600,1143429300,31681800
9183100,665200,1145086900,30806900
8985000,403300,1184581400,44264500
10919800,460100,1167222200,36977200
8774100,373200,1137778700,31944600
9144800,412100,1127819900,30745800
14229700,555600,1232215400,37992100
11522400,391600,1228690700,39098000
12297900,395700,1301524100,79443400
12101000,413100,1193770600,42705100
14367400,333800,1345032900,40790700
12195900,545900,1355449900,35867200
10758100,794600,1285973600,40258600
12227500,464700,1300063400,45429400
10169000,365800,1177847400,35814100
10103600,468200,1165575300,33597000
9984200,469500,1129960000,35584700
9233300,552500,1150048000,33765800
9009700,503400,1107443800,32592400
10703800,692600,1158223200,34432200
9763300,471700,1214368700,34841100
9398700,425200,1150676700,37106700
10705200,364600,1150032400,34745600
12096800,753700,1242353900,48836500
10960000,512100,1266426400,34755300
9416000,478800,1142152700,44760500
8814300,446800,1192221600,35563100
9419300,658900,1161026900,55564800
10126100,501600,1233784600,39701100
9749100,487100,1136852800,40964900
9555300,712500,1149378500,33368200
9940900,485000,1126637900,37127100
11893300,488900,1152775900,35803600
10935800,459600,1114669100,38489800
9737000,458200,1131111400,37098800
10102000,475700,1165722600,34973300
9813600,486300,1200348000,33568600
11199300,403100,1213137700,37810800
10992800,524800,1202097600,34338300
10586500,552900,1139260400,32702400
9714800,475800,1126145300,34382600
8976400,561800,1194726600,36433200
9844600,469300,1116937600,34392700
9484400,498500,1144411200,32310600
9952200,705600,1183047300,35239300
9577600,754200,1152425500,39180900
12776900,669800,1300030800,42308700
10694300,504600,1154883900,39253200
9191500,452500,1124078600,34688500
9829800,612700,1111369700,35013300
9620300,487600,1172039600,37052700
9219600,417500,1143932300,33598900
9058900,521800,1196462800,40905700
10757400,337600,1147003100,37455300
9966500,785900,1128075200,35071700
10167400,821200,973157300,33527000
