UsdCreate,Define World,Add 10 Refs to 10 File(s),Save 10 File
67314800,3809300,60503700,25748200
73413800,4132200,63313500,26060700
65113800,3370400,51758500,23354000
72327800,4179300,45280200,23840300
73100900,3663900,51731200,23207300
78033500,3976100,50233500,26965300
70358600,6233600,57441800,24577700
74506700,4046900,51419100,24916400
63345300,4090800,55354700,22926400
56926100,4096300,77274500,25221100
60420900,3621900,62346900,24603900
69581100,2697700,54876000,24154000
86401200,2691300,29911500,23102700
75627700,6058600,59859700,25082700
66365100,6483200,61014000,24688700
76358700,3956300,39903000,23749800
84579600,3341200,50316000,23945300
67606300,3308500,60264400,25202300
58166700,3182500,59957800,23546700
68985500,3367600,56741600,25691700
93799900,3889400,65698000,28894600
79208800,4044600,43427800,23129500
84128600,3943900,47621500,23970600
81809100,2785200,44089900,23198900
55161600,3343900,68954100,24354400
99060100,3423600,27824900,22211400
80304800,3038100,53940000,24419200
79758800,3228100,42511000,22530500
80047200,2974800,41444200,21834100
90075900,2683600,42120100,22873300
71926000,3228400,61931000,24825600
71528600,6157100,46367500,23372700
88228200,3412600,42606900,23530300
81739900,3185900,43188200,22730000
73904000,3486600,53482900,24645800
92099500,3459100,33002000,22563400
90140500,3861800,34023800,22465300
74104000,3523900,56333600,23037400
84369400,2771500,37244000,22666500
100303700,1879700,50187700,22593100
43261100,3104000,71849900,23814800
55146900,3859700,76704800,25705800
44057500,3962700,74519100,24804400
83609100,3625600,43625200,22882700
76632400,2803800,45953900,23886800
113650800,3865800,57334500,27451500
69582600,3581200,55136900,22363200
65148300,3347500,56745200,29027400
68878100,2845000,52217000,22611200
72498500,3330700,52630700,23604200
62006600,4422600,65218500,25668100
80486100,3640700,51909200,24273300
59581700,3096100,52238200,22049100
71994600,4098300,49345300,24237700
61497400,3534700,62189700,24490000
78181900,3451600,54417300,26038300
84270600,10948000,52094100,23789100
67019600,2957000,66753600,26840700
75305900,3667000,40756100,22827700
72032400,3240600,64358700,24028100
68320600,3423900,51586700,23836300
58219700,3940000,69961400,25002300
48418900,3603200,69366800,24658600
51915500,3366900,82925100,26066500
72694200,10727700,44980300,23045500
72484300,3784200,53796300,23037300
90761600,3315700,32218900,24374200
70702000,3786500,63050500,24545300
65621200,2937100,49746400,23818600
60071800,3173600,70601500,26793500
88106100,3750300,70975400,31338900
62125200,4083700,57912800,25079800
71251500,3498800,61582300,26024400
66037400,3423800,58642100,22008200
70468000,3134700,38749200,22895000
58973400,4122600,70185000,24878300
79684800,3217400,47725400,24054500
64151600,3171400,52891000,22271100
57502600,4454400,69202200,23746600
65777900,3616000,52144900,24888700
80187500,3137600,55710100,25727800
79030000,11616400,39496300,22838000
73947900,3397100,58281400,24933900
69376800,2709300,55911700,23281600
92916000,3214400,27991400,22902800
76493600,3863000,57832900,23639400
59687600,3458500,58625700,24066600
75702300,2916400,46224700,22767400
94984500,3566400,33001900,24689600
92603100,10314000,38234400,22262000
82788100,3319100,47272700,22790800
66182100,3324800,56253800,24269500
101968600,3208500,26767900,23823500
75915000,3816500,42681600,23117300
90653500,3072600,42844800,23595600
96585400,3391000,64131000,29190800
70625700,3361300,51529900,23299200
78305700,3382900,57696200,22757800
70314300,3399800,53910800,24229700
82313600,3530300,32203700,20977800
